123	292	198	308
124	251	152	275
127	461	164	475
128	428	168	446
128	519	164	545
129	563	178	580
130	495	200	511
130	626	165	644
131	663	213	684
131	695	288	716
131	720	193	749
132	762	143	777
132	787	313	821
134	831	171	846
159	758	300	783
167	37	181	44
167	385	190	409
175	585	286	613
182	248	345	282
184	460	202	475
184	530	208	544
184	628	243	652
192	820	265	849
198	425	300	448
206	556	393	583
218	384	292	412
220	492	350	518
221	724	352	752
222	284	369	309
224	447	367	482
230	518	285	548
232	110	493	139
240	662	280	682
262	627	300	649
272	333	490	368
293	820	324	844
304	521	366	549
305	583	453	613
310	689	457	716
314	181	435	200
315	650	410	677
316	424	353	444
320	756	463	782
325	379	349	405
327	614	467	649
343	794	380	815
344	828	384	843
363	254	418	274
371	716	445	747
373	478	460	508
379	381	505	406
385	525	422	540
393	423	481	445
393	455	430	469
395	280	620	304
407	824	580	854
413	793	479	814
444	514	642	547
446	243	548	269
448	654	584	681
452	446	519	472
468	727	503	741
478	682	584	713
481	613	527	645
484	590	641	613
485	489	515	507
491	749	525	773
511	411	640	441
516	781	643	815
527	724	643	748
528	382	637	402
531	851	562	871
535	488	563	503
538	454	641	477
546	758	583	778
551	622	574	638
583	476	641	508
593	622	631	646
596	825	641	841
598	750	632	773
604	690	643	711
607	658	643	672
